iter	Passed	Remaining
0	136	136562
1	137	68684
2	138	46032
3	139	34676
4	140	27884
5	140	23316
6	141	20060
7	142	17673
8	143	15810
9	144	14295
10	146	13141
11	147	12105
12	147	11218
13	148	10468
14	149	9804
15	149	9222
16	150	8724
17	151	8285
18	152	7878
19	153	7505
20	153	7172
21	154	6866
22	155	6592
23	155	6335
24	156	6098
25	156	5879
26	157	5677
27	158	5489
28	158	5313
29	159	5153
30	160	5005
31	160	4861
32	161	4726
33	161	4600
34	162	4482
35	163	4368
36	163	4260
37	164	4158
38	165	4069
39	165	3982
40	166	3896
41	167	3813
42	167	3733
43	168	3658
44	168	3585
45	169	3516
46	170	3449
47	170	3384
48	171	3322
49	171	3264
50	172	3207
51	172	3152
52	173	3101
53	174	3053
54	174	3004
55	175	2957
56	176	2913
57	176	2869
58	177	2827
59	177	2785
60	178	2752
61	179	2718
62	180	2686
63	181	2656
64	182	2620
65	182	2587
66	183	2555
67	184	2523
68	184	2491
69	185	2460
70	185	2430
71	186	2401
72	186	2372
73	187	2346
74	188	2329
75	189	2304
76	190	2279
77	190	2254
78	191	2229
79	191	2205
80	192	2181
81	192	2158
82	193	2133
83	193	2112
84	194	2095
85	195	2076
86	196	2061
87	197	2042
88	197	2022
89	198	2004
90	198	1985
91	199	1967
92	199	1949
93	200	1931
94	200	1913
95	201	1899
96	202	1883
97	203	1869
98	203	1854
99	204	1839
100	204	1823
101	205	1808
102	205	1793
103	206	1779
104	207	1764
105	207	1750
106	208	1736
107	208	1725
108	209	1713
109	210	1701
110	210	1689
111	212	1681
112	212	1669
113	213	1657
114	213	1645
115	214	1634
116	214	1621
117	215	1611
118	216	1599
119	216	1588
120	217	1577
121	217	1566
122	218	1557
123	219	1548
124	219	1538
125	220	1528
126	220	1517
127	221	1507
128	221	1498
129	222	1488
130	223	1479
131	223	1471
132	224	1464
133	225	1457
134	226	1450
135	226	1441
136	227	1432
137	228	1424
138	228	1416
139	229	1408
140	229	1400
141	230	1391
142	230	1384
143	231	1375
144	232	1368
145	232	1361
146	233	1354
147	233	1346
148	234	1338
149	234	1331
150	235	1324
151	236	1316
152	236	1309
153	237	1302
154	237	1295
155	238	1288
156	238	1282
157	239	1277
158	240	1271
159	241	1267
160	241	1260
161	242	1253
162	242	1247
163	243	1240
164	243	1234
165	244	1228
166	245	1223
167	245	1217
168	246	1211
169	247	1206
170	248	1202
171	248	1196
172	249	1191
173	249	1185
174	250	1180
175	250	1174
176	251	1168
177	251	1163
178	252	1157
179	252	1152
180	253	1147
181	254	1145
182	255	1141
183	256	1136
184	257	1132
185	257	1127
186	258	1122
187	258	1118
188	259	1114
189	260	1110
190	261	1106
191	262	1102
192	262	1098
193	263	1094
194	264	1090
195	265	1087
196	265	1083
197	266	1079
198	267	1076
199	269	1076
200	271	1077
201	271	1073
202	272	1069
203	272	1065
204	273	1061
205	274	1057
206	275	1053
207	275	1049
208	277	1050
209	278	1046
210	278	1043
211	279	1038
212	280	1035
213	280	1031
214	281	1027
215	282	1023
216	284	1025
217	285	1022
218	286	1021
219	287	1018
220	287	1014
221	288	1010
222	289	1007
223	289	1004
224	290	1000
225	292	1002
226	293	1000
227	294	996
228	294	992
229	295	989
230	296	985
231	296	981
232	297	979
233	298	976
234	299	973
235	299	970
236	300	967
237	301	964
238	302	962
239	303	960
240	304	957
241	304	953
242	305	950
243	305	947
244	306	944
245	307	941
246	307	938
247	308	934
248	308	931
249	309	928
250	309	924
251	310	921
252	310	918
253	311	915
254	312	912
255	313	909
256	313	906
257	314	903
258	314	901
259	315	898
260	316	895
261	316	892
262	317	890
263	318	887
264	318	884
265	319	881
266	320	878
267	320	875
268	321	874
269	323	873
270	323	871
271	324	868
272	324	865
273	325	862
274	326	859
275	326	857
276	327	854
277	328	852
278	328	849
279	329	847
280	330	844
281	330	841
282	331	839
283	332	837
284	332	835
285	333	832
286	334	830
287	334	827
288	335	825
289	336	823
290	337	821
291	338	820
292	338	817
293	339	815
294	340	812
295	340	809
296	341	807
297	341	804
298	342	802
299	343	800
300	343	797
301	344	795
302	344	793
303	345	790
304	346	788
305	346	786
306	347	784
307	348	782
308	348	779
309	349	777
310	349	775
311	350	772
312	351	770
313	351	769
314	352	767
315	353	765
316	354	763
317	354	761
318	355	758
319	356	757
320	356	754
321	357	752
322	358	750
323	358	748
324	359	746
325	359	744
326	360	742
327	361	740
328	361	737
329	362	735
330	363	733
331	363	731
332	364	729
333	364	727
334	365	726
335	366	725
336	367	723
337	368	721
338	368	719
339	369	717
340	370	715
341	370	713
342	371	711
343	372	710
344	373	708
345	373	706
346	374	705
347	375	703
348	375	700
349	376	699
350	377	697
351	377	695
352	378	693
353	378	691
354	379	689
355	381	689
356	382	688
357	382	686
358	383	684
359	383	682
360	384	680
361	385	678
362	385	677
363	386	675
364	387	673
365	387	671
366	388	670
367	389	668
368	389	666
369	390	664
370	390	662
371	391	661
372	392	659
373	392	657
374	393	655
375	393	653
376	394	651
377	395	650
378	396	649
379	397	648
380	398	646
381	398	645
382	399	643
383	400	642
384	400	640
385	401	638
386	402	637
387	402	635
388	403	633
389	403	631
390	404	630
391	405	628
392	406	627
393	406	625
394	407	624
395	408	622
396	408	620
397	410	620
398	411	620
399	412	618
400	412	616
401	413	615
402	414	613
403	414	611
404	416	611
405	416	609
406	417	608
407	418	606
408	418	604
409	419	603
410	419	601
411	420	600
412	421	598
413	421	597
414	422	595
415	422	593
416	423	592
417	424	590
418	425	589
419	426	589
420	427	587
421	427	585
422	428	584
423	428	582
424	429	581
425	430	579
426	431	578
427	431	576
428	432	575
429	432	573
430	433	572
431	434	570
432	434	569
433	435	567
434	436	566
435	436	564
436	437	563
437	437	561
438	438	560
439	439	558
440	439	557
441	440	556
442	441	555
443	442	553
444	442	552
445	443	550
446	444	549
447	444	547
448	445	546
449	446	545
450	446	543
451	447	542
452	448	541
453	448	539
454	449	538
455	449	536
456	450	535
457	451	533
458	451	532
459	452	531
460	453	529
461	453	528
462	455	527
463	457	528
464	458	527
465	458	525
466	459	524
467	460	522
468	460	521
469	461	520
470	462	518
471	462	517
472	463	516
473	463	514
474	464	513
475	464	511
476	465	510
477	466	508
478	466	507
479	467	506
480	467	504
481	468	503
482	469	502
483	469	500
484	470	499
485	471	498
486	472	497
487	472	496
488	473	494
489	474	493
490	474	492
491	475	491
492	476	489
493	476	488
494	477	487
495	478	485
496	478	484
497	479	483
498	480	482
499	480	480
500	481	479
501	482	478
502	483	477
503	483	476
504	484	475
505	485	474
506	486	473
507	487	472
508	488	471
509	489	470
510	490	469
511	491	468
512	491	466
513	492	465
514	493	464
515	494	463
516	494	462
517	495	461
518	496	459
519	496	458
520	497	457
521	498	456
522	499	455
523	500	454
524	501	454
525	503	453
526	503	452
527	504	451
528	505	450
529	506	448
530	506	447
531	507	446
532	508	445
533	508	444
534	509	442
535	510	441
536	510	440
537	511	439
538	512	438
539	513	437
540	516	437
541	517	437
542	517	435
543	518	434
544	519	433
545	519	432
546	520	431
547	521	429
548	521	428
549	522	427
550	522	426
551	523	424
552	524	423
553	524	422
554	525	421
555	526	420
556	526	418
557	527	417
558	527	416
559	528	415
560	529	414
561	530	413
562	531	412
563	532	411
564	532	410
565	533	408
566	533	407
567	534	406
568	535	405
569	535	404
570	536	402
571	536	401
572	537	400
573	538	399
574	538	398
575	539	397
